condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,0.9922,0.7662,1.0,0.6562,0.9773,0.8931,0.9863,0.9863,1.0,0.9228,1.0,1.0
balanced_age_oversampling,0.9922,1.0,0.0775,1.0,0.9996,0.311,1.0,1.0,0.3628,0.9991,1.0,0.8931,0.9999
balanced_age_patient_aware_undersampling,0.7662,0.0775,1.0,0.2635,0.0034,1.0,0.0159,0.061,1.0,0.5968,0.0212,0.9643,0.4765
balanced_age_reference_proportional,1.0,1.0,0.2635,1.0,0.9773,0.6562,0.9991,1.0,0.7131,1.0,0.9996,0.9922,1.0
balanced_age_smote,0.6562,0.9996,0.0034,0.9773,1.0,0.028,1.0,0.9999,0.0366,0.8144,1.0,0.311,0.8931
balanced_age_undersampling,0.9773,0.311,1.0,0.6562,0.028,1.0,0.0976,0.2635,1.0,0.9228,0.1216,0.9996,0.8569
balanced_sex_jittering,0.8931,1.0,0.0159,0.9991,1.0,0.0976,1.0,1.0,0.1216,0.9643,1.0,0.5968,0.9863
balanced_sex_oversampling,0.9863,1.0,0.061,1.0,0.9999,0.2635,1.0,1.0,0.311,0.9979,1.0,0.8569,0.9996
balanced_sex_patient_aware_undersampling,0.9863,0.3628,1.0,0.7131,0.0366,1.0,0.1216,0.311,1.0,0.9464,0.1499,0.9999,0.8931
balanced_sex_reference_proportional,1.0,0.9991,0.5968,1.0,0.8144,0.9228,0.9643,0.9979,0.9464,1.0,0.9773,1.0,1.0
balanced_sex_smote,0.9228,1.0,0.0212,0.9996,1.0,0.1216,1.0,1.0,0.1499,0.9773,1.0,0.6562,0.9922
balanced_sex_undersampling,1.0,0.8931,0.9643,0.9922,0.311,0.9996,0.5968,0.8569,0.9999,1.0,0.6562,1.0,0.9996
original,1.0,0.9999,0.4765,1.0,0.8931,0.8569,0.9863,0.9996,0.8931,1.0,0.9922,0.9996,1.0
